codfigurafiscal,descfigurafiscal,indr
142,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para AC,
143,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para AL,
144,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para AM,
145,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para AP,
146,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para BA,
147,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para CE,
148,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para DF,
149,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para ES,
150,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para GO,
151,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para MA,
152,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para MG,
153,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para MS,
154,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para MT,
155,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para PA,
156,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para PB,
157,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para PE,
158,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para PI,
159,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para PR,
160,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para RJ,
161,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para RN,
162,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para RO,
163,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para RR,
164,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para RS,
165,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para SC,
166,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para SE,
167,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para SP,
168,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para TO,
169,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para qualquer Estado,
170,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para AC,
171,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para AL,
172,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para AM,
173,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para AP,
174,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para BA,
175,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para CE,
176,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para DF,
177,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para ES,
178,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para GO,
179,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para MA,
180,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para MG,
181,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para MS,
182,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para MT,
183,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para PA,
184,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para PB,
185,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para PE,
186,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para PI,
187,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para PR,
188,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para RJ,
189,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para RN,
190,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para RO,
191,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para RR,
192,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para RS,
193,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para SC,
194,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para SE,
195,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para SP,
196,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Transfer̻ncia para TO,
197,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para qualquer Estado,
198,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para AC,
199,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para AL,
200,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para AM,
201,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para AP,
202,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para BA,
203,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para CE,
204,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para DF,
205,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para ES,
206,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para GO,
207,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para MA,
208,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para MG,
209,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para MS,
210,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para MT,
211,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para PA,
212,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para PB,
213,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para PE,
214,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para PI,
215,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para PR,
216,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para RJ,
217,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para RN,
218,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para RO,
219,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para RR,
220,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para RS,
221,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para SC,
222,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para SE,
223,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para SP,
224,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para qualquer Destino para TO,
225,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para qualquer Estado,
226,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para AC,
227,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para AL,
228,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para AM,
66,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para GO,
67,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para MA,
68,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para MG,
69,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para MS,
70,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para MT,
71,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para PA,
72,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para PB,
73,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para PE,
74,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para PI,
75,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para PR,
76,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para RJ,
77,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para RN,
78,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para RO,
79,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para RR,
80,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para RS,
81,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para SC,
82,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para SE,
83,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para SP,
84,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para TO,
85,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para qualquer Estado,
86,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para AC,
87,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para AL,
88,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para AM,
89,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para AP,
90,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para BA,
91,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para CE,
92,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para DF,
93,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para ES,
94,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para GO,
95,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para MA,
96,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para MG,
97,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para MS,
98,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para MT,
99,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para PA,
100,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para PB,
101,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para PE,
102,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para PI,
103,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para PR,
104,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para RJ,
105,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para RN,
106,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para RO,
107,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para RR,
108,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para RS,
109,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para SC,
110,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para SE,
111,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para SP,
112,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Contribuinte para TO,
113,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para qualquer Estado,
114,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para AC,
115,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para AL,
116,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para AM,
117,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para AP,
118,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para BA,
229,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para AP,
230,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para BA,
231,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para CE,
232,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para DF,
233,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para ES,
234,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para GO,
235,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para MA,
236,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para MG,
237,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para MS,
238,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para MT,
239,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para PA,
240,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para PB,
241,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para PE,
242,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para PI,
243,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para PR,
244,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para RJ,
245,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para RN,
246,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para RO,
247,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para RR,
248,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para RS,
249,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para SC,
250,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para SE,
251,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para SP,
252,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Ṇo Contribuinte para TO,
253,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Varejo Contribuinte para qualquer Estado,
254,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Varejo Contribuinte para AC,
255,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Varejo Contribuinte para AL,
256,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Varejo Contribuinte para AM,
257,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Varejo Contribuinte para AP,
258,De qualquer origem Classifica̤̣o Lucro Real de Entrada Industria para Saida Varejo Contribuinte para BA,
