codbco,agencia,banco,cidade,uf,usultalteracao,dtultimalteracao,dtcadastro,agencia_cedente,codbcoblt,convenio,carteira_cobranca,variacao_carteira
84,0443.048,BEMGE,CACH DOURADA-MG,,,,,,,,,
85,2426.237,BRADESCO,CAMP VERDE-MG,,,,,,,,,
86,0342.275,BANCO REAL,UDI-MG,,,,,,,,,
87,1827.104,CAIXA ECONOMICA FEDERAL,PIRES RIO-GO,,,,,,,,,
88,0925.237,BRADESCO,CONC ARAGUAIA-PA,,,,,,,,,
89,0376.001,BANCO DO BRASIL,ITUMBIRA-GO,,,,,,,,,
90,0520.399,BMU,JATAI-GO,,,,,,,,,
91,0321.341,ITAU,UBERABA-MG,,,,,,,,,
92,0133.275,BANCO REAL,FRUTAL-MG,,,,,,,,,
93,0377.048,BEMGE,ITURAMA-MG,,,,,,,,,
94,2973.001,BANCO DO BRASIL,RIO VERDE-GO,,,,,,,,,
95,0322.341,ITAU,RIO VERDE-GO,,,,,,,,,
96,0083.291,BCN,UDI-MG,,,,,,,,,
97,0987.237,BRADESCO,PARACATU-MG,,,,,,,,,
98,0265.237,BRADESCO,UDI-MG,,,,,,,,,
99,0524.409,UNIBANCO,BRASILIA-DF,,,,,,,,,
100,0006.409,UNIBANCO,CAMPINAS-SP,,,,,,,,,
285,1184.001,BANCO DO BRASIL,RIB PRETO-SP,,,,,,,,,
286,0289.389,MERCANTIL,ITUMBIARA-GO,,,,,,,,,
287,0103.031,BEG,UDI-MG,,,,,,,,,
288,0188.291,BCN,UDI-MG,,,,,,,,,
289,2578.237,BRADESCO,S PAULO-SP,,,,,,,,,
290,1605.399,BMU,ARAXA-MG,,,,,,,,,
291,0631.399,BMU,CACH DOURADA-MG,,,,,,,,,
292,0151.341,ITAU,S PAULO-SP,,,,,,,,,
293,0766.237,BRADESCO,BRITANIA-GO,,,,,,,,,
294,1915.104,CAIXA ECONOMICA FEDERAL,GOIANIA-GO,,,,,,,,,
295,0030.022,BANCO REAL,ITBA-MG,,,,,,,,,
296,0011.389,MERCANTIL,CATALAO-GO,,,,,,,,,
297,0252.237,BRADESCO,RONDONOPOLIS-MT,,,,,,,,,
298,0456.001,BANCO DO BRASIL,AMPARO-SP,,,,,,,,,
299,0101.415,NACIONAL,ARAGUARI-MG,,,,,,,,,
300,0300.001,BANCO DO BRASIL,PCA ARVORE-SP,,,,,,,,,
301,3590.001,BANCO DO BRASIL,BRASILIA-DF,,,,,,,,,
302,0865.001,BANCO DO BRASIL,PIRANHAS-GO,,,,,,,,,
303,0504.033,BANESPA,VIRADOURO-SP,,,,,,,,,
304,0517.001,BANCO DO BRASIL,CURITIBANOS-SC,,,,,,,,,
305,0015.341,ITAU,SERRA NEGRA-SP,,,,,,,,,
306,0241.237,BRADESCO,BRASILIA-DF,,,,,,,,,
307,0504.237,BRADESCO,FARIA LIMA-SP,,,,,,,,,
308,0037.033,BANESPA,S J R PRETO-SP,,,,,,,,,
309,0043.001,BANCO DO BRASIL,IPAMERI-GO,,,,,,,,,
310,2158.001,BANCO DO BRASIL,ITAJOBI-SP,,,,,,,,,
311,2345.237,BRADESCO,IBITIUVA-SP,,,,,,,,,
312,0622.237,BRADESCO,IPEUNA-SP,,,,,,,,,
313,0944.341,ITAU,ARAXA-MG,,,,,,,,,
314,0147.341,ITAU,GOIANIA-GO,,,,,,,,,
315,1571.399,BMU,S S PARAISO-MG,,,,,,,,,
316,0192.031,BEG,GOIANIA-GO,,,,,,,,,
317,1019.399,BMU,S BARBARA D OEST,,,,,,,,,
318,2939.001,BANCO DO BRASIL,ARAPUTANGA-MT,,,,,,,,,
319,0069.409,UNIBANCO,RONDONOPOLIS-MT,,,,,,,,,
320,0539.237,BRADESCO,S SIMAO-GO,,,,,,,,,
321,2443.237,BRADESCO,MTE ALEGRE-MG,,,,,,,,,
322,0603.415,NACIONAL,S B CAMPO-SP,,,,,,,,,
323,0143.104,CAIXA ECONOMICA FEDERAL,PATROCINIO-MG,,,,,,,,,
324,0078.151,N BCO/CX,S J R PRETO-SP,,,,,,,,,
325,0225.022,BANCO REAL,B H-MG,,,,,,,,,
326,0666.341,ITAU,PAULINIA-SP,,,,,,,,,
327,0398.001,BANCO DO BRASIL,TUPACIGUARA-MG,,,,,,,,,
328,0383.341,ITAU,S PAULO-SP,,,,,,,,,
329,0024.032,BEMAT,TANGARA SERRA-MT,,,,,,,,,
330,3604.001,BANCO DO BRASIL,PARLAMENTO-DF,,,,,,,,,
331,1490.104,CAIXA ECONOMICA FEDERAL,CONC ALAGOAS-MG,,,,,,,,,
332,0914.001,BANCO DO BRASIL,CONC ARAGUAIA-PA,,,,,,,,,
333,0016.031,BEG,JATAI-GO,,,,,,,,,
334,0170.022,BANCO REAL,UBERABA-MG,,,,,,,,,
335,3670.001,BANCO DO BRASIL,DOVERLANDIA-GO,,,,,,,,,
336,3361.001,BANCO DO BRASIL,ARACAJU-SE,,,,,,,,,
337,0302.001,BANCO DO BRASIL,S CRISTOVAO-RJ,,,,,,,,,
338,0018.341,ITAU,S CAETANO SUL-SP,,,,,,,,,
339,0569.399,BMU,S FCO SALES,,,,,,,,,
340,0704.001,BANCO DO BRASIL,PONTALINA-GO,,,,,,,,,
341,0091.031,BEG,GOIANIA-GO,,,,,,,,,
342,0301.275,BANCO REAL,S CARLOS-SP,,,,,,,,,
343,1447.237,BRADESCO,MINEIROS-GO,,,,,,,,,
344,1418.399,BMU,FRUTAL-MG,,,,,,,,,
345,0353.104,CAIXA ECONOMICA FEDERAL,S J R PRETO-S,,,,,,,,,
346,0314.399,BMU,ITUMBIARA-GO,,,,,,,,,
347,1021.237,BRADESCO,CARNEIRINHO-MG,,,,,,,,,
348,0032.453,RURAL,UDI-MG,,,,,,,,,
349,0155.415,NACIONAL,RIB PRETO-SP,,,,,,,,,
350,2536.237,BRADESCO,CENTRALINA-MG,,,,,,,,,
351,0091.392,FINASA,INDAIATUBA,,,,,,,,,
352,0254.033,BANESPA,EMBU GUACU-SP,,,,,,,,,
353,0375.048,BEMGE,GRUPIARA-MG,,,,,,,,,
354,1712.001,BANCO DO BRASIL,S PAULO-SP,,,,,,,,,
355,0182.048,BEMGE,ITURAMA-MG,,,,,,,,,
356,0170.424,NOROESTE,CUIABA-MT,,,,,,,,,
357,1461.237,BRADESCO,CUIABA-MT,,,,,,,,,
358,0163.031,BEG,ARAGARCAS-GO,,,,,,,,,
