codfamilia,descricao,tipo
1588,BISC WAFER ,P
1589,MINI POTE ,P
1590,AMAC YPE ACONCHEGO ,P
1591,LIMP YPE MULTIUSO ,P
1592,TORTINHA MABEL ,P
1593,BISC RECH ,P
1594,CHOC ARCOR ,P
1595,AMAC POLITRIZ ,P
1596,DESINFETANTE ,P
1597,CERA POLITRIZ ,P
1598,SUCO DELVALLE ,P
1599,DETERG ESTRELA ,P
1600,SUCO C/ SOJA ,P
1601,SUCO C/SOJA/MACA ,P
1602,LAVA ROUPAS ,P
1603,PAPEL HIG ,P
1604,SAND IPAN ,P
1605,AMAC Q BOA ,P
1606,SOPAO KITANO ,P
1607,SOPINHA NESTLE ,P
1608,DESINFET POLITRIZ ,P
1609,DESINF PINHO ,P
1610,TEMP SAZON ,P
1611,CALDO JUREMA ,P
1612,SUKITA BRAHMA ,P
1613,CREME KANECHOMN ,P
1614,LIMP AJAX ,P
1615,BANDEJA LAMINADA ,P
1616,AGUA AQUARIUS 510ML,P
1617,FILT DOCE ,P
1618,SUCO TOP FRUIT ,P
1619,AGRIN TOSCANO ,P
1620,SH CLEAR ANTIC ,P
1621,MATE COURO ,P
1622,GUARANA PETPLUS ,P
1623,MATE COURO ,P
1624,VODKA MISTA ,P
1625,MAC REIMASSAS ,P
1626,DESOD CONTOURE ,P
1627,BISC RECH ,P
1628,IOG NESTLE ,P
1629,COND ENLACE ,P
1630,LEITE FERM ,P
1631,SARDINHA GOMES ,P
1632,MIST BOLO ,P
1633,MAC VILMA ,P
1634,MAC VILMA OVOS 500G,P
1635,SUCO ART VILMA ,P
1636,MIST BOLO ,P
1637,MIST BOLO ,P
1638,MIST BOLO VILMA 400G,P
1639,MIST BOLO ,P
1640,SUCO ART VILMA ,P
1641,CAFE MELITTA ,P
1642,LOCAO DAVENE ,P
1643,AGUA AQUARIUS 1.5L,P
1644,IOG. ACTIVIA ,P
1645,MIST BOLO ,P
1646,SALG ELMA ,P
1647,LEITE FERM ,P
1648,REFRESC NESTLE ,P
1649,SH NEWCARE ,P
1650,COXAO MOLE ,P
1651,SOPA MAGGI ,P
1652,PALHA ACO ,P
1653,DEO COLONIA ,P
1654,FAROFA PRATA ,P
1655,IOG DANONE ,P
1656,CALDO MAIT? ,P
1657,LIMP SANIT ,P
1658,DETERG PO ,P
1659,SUCO ADES ,P
1660,BISC MARILAN ,P
1661,PANO POLITRIZ ,P
1662,LEITE FERM ,P
1663,SUCO SUFRESH ,P
1664,SUCO SUFRESH ,P
1665,DESINF AZULIM ,P
1666,BISC VISCONT ,P
1667,ATUM GOMES ,P
1668,SH SEDA ONDAS ,P
1669,COND SEDA ,P
1671,LOCAO HIDRAT ,P
1672,SH DOVE LISOS ,P
1673,SH DOVE POS ,P
1674,COND DOVE 400ML,P
1675,SAB LIQ DETTOL ,P
1676,LIMP BRILHANTE ,P
1677,BOLO RENATA ,P
1678,SOPA KNORR ,P
1679,MOLHO TOM ,P
1680,GELATINA BRETZKE ,P
1681,MAC RENATA ,P
1682,MAC RENATA ,P
1683,COOKIE KODILAR ,P
1684,SUCO ART ICEBEL ,P
1685,SUCO ART ICEBEL ,P
1686,TINT COLOR ,P
1687,FRALDA DESC ,P
1688,MILHO PIPOCA ,P
1689,BISNAGUINHA ,P
1690,SOPA JUREMA ,P
1691,CALDO KNORR ,P
1692,DESOD REXONA ,P
1693,SAND IPAN ,P
1694,JUNCO VELA ,P
1695,JUNCO VELA ,P
1696,VELA RAIO ,P
1697,PAPEL HIG ,P
1698,PAPEL HIG ,P
1699,FRALDA DESC ,P
1700,BISC SALG ,P
1701,SH COLORAMA ,P
1702,IOG NESTLE ,P
1703,KIT SEDA SH+COND ,P
1704,SPRAY P/PENT ,P
1705,SERUM PARA ,P
1706,SAB HIDRATANTE ,P
1707,COALHADA CANTO ,P
1708,SAB JOHNSON ,P
1709,SOPA KNORR ,P
1710,BISC AMANT ,P
1711,BISC RECH ,P
1712,BISC TORTINI ,P
1713,BISC WAFER ,P
1714,PIZZA REZENDE ,P
1715,ESTOJO ESCOLAR ,P
1716,SUCO ART VILMA ,P
1717,SUCO ART PALADAR ,P
1718,BISC RECHEADINHO ,P
1719,PIRULITO ERLAN ,P
1720,MILHO PIPOCA ,P
1721,CEREAL HERSHEYS ,P
