codfamilia,descricao,tipo
507,"RODOS, VASSOURAS E PAS",S
508,SACOS PARA LIXO,S
509,TABUAS DE PASSAR ROUPAS,S
510,PAPELARIA,G
511,ACESSORIOS ESCOLARES,S
512,"CADERNOS, AGENDAS",S
513,CANETAS / LAPIS,S
514,LIVROS E REVISTAS,S
515,"MOCHILAS, PASTAS E FICHARIOS",S
516,CARTOES COMEMORATIVOS,S
517,CAMPING E PESCA,G
518,ARTIGOS DE PESCARIA,S
519,NAUTICA,S
520,"BARRACAS, MESAS E CADEIRAS PLASTICAS",S
521,CARVAO,S
522,CHURRASQUEIRA,S
523,ESPETOS E GRELHAS,S
524,ISOPOR E CAIXA TERMICA,S
525,"LANTERNAS, LAMPIOES E LAMPARINAS",S
526,BRINQUEDOS,G
527,BARALHOS/JOGOS,S
528,BRINQUEDOS,S
529,HORTA E JARDIM,G
530,ACESSORIOS JARDINAGEM,S
531,ADUBOS,S
532,FOLHAGENS E FLORES,S
533,MOVEIS,S
534,VASOS E PRATOS,S
535,SEMENTES,S
536,RACOES,G
537,ACESSORIOS DE PET SHOP,S
538,RACAO P/ AVES,S
539,RACAO P/ CAES,S
540,RACAO P/ GATOS,S
541,OUTRAS RACOES,S
542,TABACARIA,G
543,ACESSORIOS TABACARIA,S
544,CIGARROS,S
545,FUMO DE ROLO OU CORDA,S
546,TEXTIL,D
547,CALCADOS,G
548,CHINELO INFANTIL (ATE 32),S
549,CHINELO ADULTO,S
550,SAPATOS E BOTAS,S
551,TENIS,S
552,ROUPAS,G
553,ROUPAS BEBE,S
554,ROUPAS INFANTO JUVENIS,S
555,ROUPAS FEMININAS,S
556,ROUPAS MASCULINAS,S
557,ACESSORIOS VESTUARIO,S
558,ARMARINHO,S
559,"CAMA, MESA, BANHO",G
560,CAMA,S
561,MESA,S
562,BANHO,S
563,COZINHA,S
564,TAPETES,S
565,ELETRO,D
566,ELETRODOMESTICOS EM GERAL,G
567,PORTATEIS,S
568,CD - DVD,S
569,CELULARES/TELEFONIA,S
570,PILHAS,S
571,INFORMATICA,S
572,LINHA BRANCA,S
573,MOVEIS E COLCHOES,S
574,TELEVISORES,S
575,INSUMOS DE PRODUCAO,D
576,MATERIA-PRIMA PRODUCAO,G
577,ACOUGUE,S
578,PADARIA,S
579,RESTAURANTE E/OU ROTISSERIA,S
580,MATERIAIS PARA USO,D
581,ALMOXARIFADO,G
582,EMBALAGENS ACOUGUE,S
583,EMBALAGENS FRENTE DE LOJA,S
584,EMBALAGENS PADARIA,S
585,EMBALAGENS DO HORTI,S
586,MATERIAIS P/ ESCRITORIO,S
587,MATERIAIS P/ USO INFORMATICA,S
588,MATERIAIS P/ LIMPEZA,S
589,MATERIAIS EPI E UNIFORMES,S
590,DESPESAS,D
591,APROPRIACAO DE DESPESAS,G
592,DESPESAS ADMINISTRATIVAS,S
593,TAXA DE ENTREGA,S
594,TRANSPORTE,S
595,OUTRAS,S
596,ATIVO IMOBILIZADO,D
597,ATIVO IMOBILIZADO,G
598,IMOVEIS,S
599,MAQUINAS e UTENSILIOS,S
600,MOVEIS,S
893,LAVA ROUPAS ,P
894,MOLHO TOM ,P
895,LINHA COSTURA ,P
896,TINT LUMINOUS ,P
897,TINT BIOCOLOR ,P
898,SUSTARE S/ACUCAR ,P
899,IOG DANONE ,P
900,COBERTURA ,P
901,SUCO CYCLUS ,P
902,SUCO C/ SOJA ,P
903,COND PHYTOERVAS ,P
904,SH AROMA FORTAL ,P
905,SAB LIQ PROTEX ,P
906,SAB DAVENE ,P
907,LOCAO DEMAQUIANTE ,P
908,COLONIA DAVENE ,P
909,LOCAO DAVENE ,P
910,SALG ELMA ,P
911,VINHO CHATEAU ,P
912,DESOD REXONA ,P
913,DESOD NIELY ,P
914,RACAO TOP ,P
915,LIMP VEJA ,P
916,PAST SANIT ,P
917,SUCO ART MID ,P
918,GEL GOTA PLUS ,P
919,DESINF KALIPTO ,P
920,DETERG PO ,P
921,VINHO SALTON ,P
922,CALDO KNORR ,P
923,MAC REIMASSAS ,P
924,MAC REIMASSAS ,P
925,PAPINHA NESTLE ,P
926,SARDINHA COQUEIRO ,P
927,CEREAL RITTER ,P
928,CR DENT COLGATE ,P
929,LIMP AJAX ,P
930,SUCO DEL VALLE ,P
931,MAC INST MAGGI ,P
932,SARDINHA COQUEIRO ,P
933,LUVAS LATEX ,P
934,CERA POLYLAR ,P
935,VINHO CANCAO ,P
936,SOPA KODILAR ,P
937,SAND IPAN ,P
938,MOLHO TOM POMAROLA SACHE 300G,P
939,PEDRA SANIT ,P
940,SOPA VONO ,P
941,MAC REIMASSAS ,P
942,AMAC CANDURA ,P
943,IOG NESTLE ,P
944,MAC REIMASSAS ,P
945,MAC REIMASSAS ,P
946,MOLHO MAGGI ,P
947,CREME KANECHOMN ,P
948,MIST BOLO ,P
949,LIMP OPTIMUM ,P
950,PAO HOT DOG ,P
951,IOG PAULISTA ,P
952,CALDO KNORR ,P
953,SH DARLING ,P
954,PAPINHA NESTLE ,P
955,LIMP SANIT ,P
956,LIMP SANIT ,P
957,SAB VEGETAL ,P
958,SAB REXONA ,P
959,DESOD GILLETE ,P
960,CREME KNORR ,P
961,DESODORIZ ,P
2102,DAFRUTA 1L,G
963,SH CAPI VIDA ,P
964,LOCAO GOTA ,P
965,CREME VEG ,P
966,SH ELSEVE ,P
967,CREMOGEMA ,P
968,SACO LIXO ,P
969,PAPINHA NESTLE ,P
970,SH HEAD SHOULDERS ,P
971,DOCE LEITE ,P
972,SUCO TIAL ,P
973,SUCO TIAL ,P
974,HAMBURGUER ,P
975,DESINF ODOREX ,P
976,IOG DANONE ,P
977,IOG DANONE ,P
978,VINHO MIORANZA ,P
979,ALV CLORO ,P
980,COND CAPI ,P
981,DESOD NIVEA ,P
982,TINT KANECHOMW ,P
983,DESOD REXONA ,P
984,JUNCO FRANJA ,P
985,CEREAL NUTRY ,P
986,CEREAL NUTRY ,P
987,DETERG PO ,P
988,CEREAL NUTRY ,P
989,CALDO MAGGI ,P
990,ACENDEDORES ,P
991,MOLHO TOM POMAROLA 520G,P
992,SAB REXONA ,P
993,TEMP KNORR ,P
994,GEL GOTA PLUS ,P
995,BISC WAFER ,P
996,PIZZA BATAVO ,P
997,PIZZA SADIA ,P
998,SAB MOTIVUS ,P
999,DETERG START ,P
1000,LIMP SANIT ,P
1001,FILT DOCE ,P
1002,CALDO KNORR ,P
1003,SOPINHA NESTLE ,P
1004,DESOD REXONA ,P
1005,DESOD DOVE ,P
1006,SH SEDA CONTROL ,P
1007,DESOD AXE ,P
1008,ABS INTERNO OB,P
1009,SAB LIQ JOHNSONS ,P
1010,CREME PONDS ,P
1011,SAB LUX SUAVE ,P
1012,COALHADA NAT ,P
1013,GELATINA ROYAL ,P
1014,FLOR GARDEN ,P
1015,BIFINHO CHURRASCO ,P
1016,CALDO ARISCO ,P
1017,LEITE LONGA ,P
1018,CREME KANECHOMN ,P
1019,BEBIDA LACT ,P
1020,IOG CALUZINHO ,P
1021,ENXAG BUCAL ,P
1022,VODKA SMIRNOFF ,P
1023,SALG ELMA ,P
1024,ESPUMA BARB ,P
1025,IOG DANONE ,P
1026,QUEIJ PET ,P
1027,DANETTE DANONE ,P
1028,IOG DANONE ,P
1029,BEBIDA LACT ,P
1030,IOG CALUZINHO ,P
1031,MEL ABELHAS ,P
1032,SACO LIXO ,P
1033,LIMP VEJA ,P
1034,REQUEIJAO ,P
1035,LEITE FERM ,P
1036,IOG DANONE ,P
1037,BISC AMANT ,P
1038,FANTA UVA ,P
1041,SH MONANGE ,P
1042,DESOD ENLACE ,P
1043,IOG PAULI ,P
1044,SAB FRANCIS ,P
1045,SOPA MAGGI ,P
1046,AMAC FOFO ,P
1047,DESOD AXE ,P
1048,FINALIZ BIO ,P
1049,CR DENT CLOSE ,P
1050,PAPEL HIG ,P
1051,SUCO ART SUKEST ,P
1052,VINHO DON ,P
1053,SORVETE NESTLE ,P
1054,ALV BRILHANTE ,P
1055,SORVETE NESTLE ,P
1056,SORVETE NESTLE ,P
1057,SORVETE NESTLE ,P
1058,AMAC TUFF ,P
1059,PICOLE NESTLE ,P
1060,PICOLE NESTLE ,P
1061,PICOLE NESTLE ,P
1062,PICOLE NESTLE ,P
1064,SH SUAVE CERAMIDAS ,P
1065,FRALDA DESC ,P
1066,IOG DANONE ,P
1067,IOG LIQ VIGOR ,P
1068,CATCHUP ARISCO ,P
1069,VINHO CANTINA ,P
1070,COCA COLA ,P
1071,SUCO SKINKA ,P
1072,COQUETEL PARATUDO ,P
1073,DETERG POLYLAR ,P
1074,LIMP PATO ,P
1075,LIMP PATO ,P
1076,GLADE SANY ,P
1077,BISC RECH ,P
1078,LEITE LONGA ,P
1079,ABS CAREFREE 15UN,P
1080,LOCAO HIDRAT ,P
1081,HALLS MENTOL ,P
1082,SUCO ART FRESH ,P
1083,COND HEAD ,P
1084,PICOLE NESTLE ,P
1085,SORVETE NESTLE ,P
1086,AMAC FLOR ,P
1087,SAB ALBANY ,P
1088,COND MONANGE ,P
1089,OVOS SAITO ,P
1090,BISC MAIZENA ,P
1091,SORV NESTLE ,P
1092,PICOLE NESTLE ,P
1093,DESOD POLITRIZ ,P
1094,DESINF VOREL ,P
1095,LARANJA GOLE ,P
1096,SODA LIMONADA ,P
1097,UVA GOLE KIDS ,P
1098,CHOC ARCOR ,P
1099,SORVETE NESTLE ,P
1100,ODORIZ BOM ,P
1101,BISC WAFER ,P
1102,LIMP SANIT ,P
1103,ARROZ COZ ,P
1104,PEDRA SANIT ,P
1105,PATE BATAVO ,P
1106,CERA POLIFLOR ,P
1107,TINT KOLESTON ,P
1108,TINT KOLESTON ,P
1109,CALDO SAZON ,P
1110,DESODORIZ ,P
1111,SAB GRANADO ,P
1112,SAB DETTOL ,P
1113,SH TONALIZ ,P
1114,MIST BOLO ,P
1115,TINT WELLATON ,P
1116,GELATINA DOCE ,P
1117,BISC WAFER ,P
1118,TEMPERA MAIS ,P
1119,LIMP CASA ,P
1120,AMAC VIDA ,P
1121,CERA SAPATO ,P
1122,LAVA ROUPA ,P
1123,SAB JOHNSON ,P
1124,GATORADE LARANJA ,P
1125,SAB FRANCIS ,P
1126,COND SUAVE ,P
1127,DESOD TOQUE ,P
1129,SH VITAL ERVAS ,P
1130,SH ALL CLEAR ,P
1131,ALCOOL VEJA ,P
1132,DESOD REXONA ,P
1133,COND BIOEXTRATUS ,P
1134,GEL FIX KANECHOMN ,P
1135,CHICLE TRIDENT ,P
1136,LEITE AVEIA ,P
1137,SAB DAVENE ,P
1138,SUCO ART FIT ,P
1139,SAB LIQ PALMOLIVE ,P
1140,SAB LIQ PALMOLIVE ,P
1141,PRESERVATIVO ,P
1142,MAC INST CUP ,P
1143,DESINF ODOREX ,P
1144,LIMP POLYLAR ,P
1145,FRALDA DESC ,P
1146,ODORIZ GLADE ,P
1147,MAC BARILLA ,P
1148,COOKIES ATIVA ,P
1149,VINHO RESERVA ,P
1150,CREME HID ,P
1151,CERA POLITRIZ ,P
1152,SUCO DEL VALLE ,P
1153,BISC WAFER ,P
1154,CEREAL NESTON ,P
1155,CREME HID ,P
1157,ODORIZ GLADE ,P
1158,SUCO ART QREFRESCO ,P
1159,AMAC AMACITEL ,P
1160,SUCO DEL VALLE ,P
1161,BISC WAFER ,P
1162,LEITE FERM ,P
1163,FRALDA DESC ,P
1164,SH DOVE NORMAL ,P
1165,COND DOVE 200ML,P
1166,CR DENT CLOSE ,P
1167,DESOD REXONA ,P
1168,LEITE FERM ,P
1169,OLEO COMPOSTO ,P
1170,SH COLORAMA ,P
1171,DETERG PO ,P
1172,IOG PAULI ,P
1173,OLEO CORPO ,P
1174,SAB FRANCIS ,P
1175,MASC TRAT ,P
1176,PO SUPLEM ,P
1177,MIST BOLO ,P
1178,SUCO DEL VALLE ,P
1179,OLEO COMPOSTO ,P
1180,SORVETE NESTLE ,P
1181,SALG ELMA ,P
1182,LEITE LONGA ,P
1183,SH TONALIZ ,P
1184,LIMP SANIT ,P
1185,ESMALTE COLORAMA ,P
1186,LIMP TOQUE ,P
1187,PAPEL HIG ,P
1188,TINT ALLIE ,P
1189,TINT GARNIER ,P
1190,DESOD NIVEA ,P
1191,DESODORIZ ,P
1192,CANETA PILOT ,P
1193,HALLS CREAMY ,P
1194,MANTEIGA ITAMBE ,P
1195,BEBIDA LACTEA ,P
1196,CEREAL QUAKER ,P
1197,LARANJA MINEIRO ,P
1198,SUCO ADES ,P
1199,FRALDA DESC ,P
1200,CREME TRAT SEDA 400G,P
1201,FRALDA DESC ,P
1202,COND BIO EXTR ,P
1203,PAPEL HIG ,P
1204,ALV Q BOA ,P
1205,GELALCOOL ,P
1206,VODKA 51 ICE ,P
1207,INSET RODASOL ,P
1208,LEITE LONGA ,P
1209,SAB NIVEA ,P
1210,FRALDA DESC ,P
1211,SUCO IZZY ,P
1212,CEREAL TRIO ,P
601,QUEIJO MUSSARELA ,P
602,DOBRADINHA ,P
603,HAMBURGUER ,P
604,AZEITONA VERDE ,P
605,PIZZA FAMILY ,P
606,SALG MULT ,P
607,CHOC DIATT ,P
608,SUSPIRO POPOKA ,P
609,CREME TRAT ELSEVE 350G,P
610,CANETA COMPACTOR ,P
611,SAB ALBANY ,P
612,VINHO CHATEAU ,P
613,SUCO ADES ,P
614,CANETA BIC ,P
615,SUCO ART REFRESKANT ,P
616,LOCAO HIDRAT ,P
617,CERA POLITRIZ ,P
618,DESINF PINHO ,P
619,DESINF ODOREX ,P
620,DESINF ODOREX ,P
621,CORANTE LIQ ,P
622,PEDRA SANIT ,P
623,MAC STA AMAL ,P
624,MAC INST MAGGI ,P
625,MAC INST ARISCO ,P
626,MAC BASILAR ,P
627,SUCO ART FRISCO ,P
628,JUNCO GARFO ,P
629,JUNCO CORANTE ,P
630,TINGECOR GUARANY ,P
631,PAO INTEGRAL ,P
632,PAO LINHACA ,P
633,BOLO SEVEN ,P
634,JUNCO COPO ,P
635,BISCOITO PARENTES ,P
636,CAFE 3 CORACOES ,P
637,VINHO CANCAO ,P
638,IOG SKILL ,P
639,IOG SKILL ,P
640,LEITE LONGA ,P
641,AMAC SUAVYLAR ,P
642,AMAC MON BIJOU ,P
643,ALV CLORO ,P
644,SUCO ART CLIGHT ,P
645,XUKY CHOCOLATE ,P
646,DESINF PINHO ,P
647,SAND HAVAIANA ,P
648,SUCO ART NESTLE ,P
649,DESINF AZULIM ,P
650,SUSTAGEN KIDS ,P
651,MAC BASILAR ,P
652,SUCO C/SOJ/PES ,P
653,MAC INST STA ,P
654,GUARANA MINEIRO ,P
655,PEDRA SANIT ,P
656,SAB FOFO OLEO ,P
657,COND ELSEVE ,P
658,CERA NUGGET ,P
659,GELATINA SOL ,P
660,TINT BIOCOL ,P
661,GEL FIXADOR ,P
662,SAB FRANCIS ,P
663,PUDIM PO BRETZKE ,P
664,SUCO ART TORNADO ,P
665,FANTA UVA ,P
666,EMULTINA SELECTA ,P
667,JUNCO PAPEL ,P
668,COBERTURA ,P
669,CR DENT SORRISO ,P
670,SAPOLIO RADIUM ,P
671,TEMP STA AMALIA ,P
672,GELATINA DUCOCO ,P
673,DESOD GOTA ,P
674,CR DENT SORRISO ,P
675,LOCAO ELLE ,P
676,LOCAO HIDRAT ,P
677,PANO LIMPEZA ,P
678,OLEO KANECHOMN ,P
679,KETCHUP HELLMANNS ,P
680,SALG ELMA ,P
681,ALV BRILHANTE ,P
682,DESOD ADIDAS ,P
683,LASANHA SADIA ,P
684,PIZZA SADIA ,P
685,DETERG LIMPOL ,P
686,DESOD AXE ,P
687,SH DIMENSION ,P
688,IOG SKILL ,P
689,PATE SWIFT ,P
690,SAB LUX SUAVE ,P
691,LIMP MULTIUSO ,P
692,DESINF PINHO ,P
693,CERA POLIFLOR ,P
694,ESCOVA DENT ,P
695,LUSTRA MOV BRAVO 500ML,P
696,CERA POLYBEM ,P
698,SUCO DEL VALLE ,P
699,CHOC TALENTO ,P
700,TEMP SABOR ,P
701,TEMP SABOR ,P
702,VINHO CANCAO ,P
703,BISC RECH ,P
704,PANETTONE ,P
705,BOLO BAUDUCCO ,P
706,SH DIMENSION ,P
707,MOLHO HELLMANNS ,P
708,MAC STA AMAL ,P
709,VINHO CHALISE ,P
710,CERA BRILHO ,P
711,TORRADA BAUDUCCO ,P
712,SORVETE TARUMA ,P
713,SH ELSEVE ,P
714,SOPA ARISCO ,P
715,COCA COLA 220ML,P
716,RUN BACARDI ,P
717,JUNCO VELAS ,P
718,MARGARINA ,P
719,SALG SKINY ,P
720,SUCO ART FRISCO ,P
721,LICOR STOCK ,P
722,ESMALTE RISQUE ,P
723,GELATINA DUCOCO ,P
724,PUDIM DUCOCO ,P
725,LOCAO CORPO ,P
726,PRESERVATIVO ,P
727,BATATA PRINGLES ,P
728,SUKITA BRAHMA ,P
729,COND SNOOPY ,P
730,COND DAVENE ,P
731,DESOD AVANCO ,P
732,DETERG PO BRILHANTE 500G,P
733,GUARANA KUAT ,P
734,GUARANA KUAT ,P
735,LEITE FERMENTADO ,P
736,DROPS HALLS ,P
737,MUFFIN SEVEN ,P
738,LIMP VIT MULTIUSO ,P
739,DESINF PINHO ,P
740,DETERG PO ,P
741,MAC STA AMAL ,P
742,DETERG LAVYLAR ,P
743,CREME BARBEAR ,P
744,GELATINA ROYAL ,P
745,FLAN ROYAL ,P
746,GATORADE TANGERINA ,P
747,CERA POLIFLOR ,P
748,BISC MAIZENA ,P
749,JUNCO ESSENCIA ,P
750,TINT IMEDIA ,P
751,DETERG LIQ ,P
752,CR DENT GESSY ,P
753,CHUV MAXIDUCHA ,P
754,LEITE LONGA ,P
755,CREME PENT SEDA 300ML,P
756,CHICLE BUBBALOO ,P
757,CHICLETS TUTIFRUTI ,P
758,HALLS EXTRA ,P
759,TEMP ARISCO ,P
760,CREME TRAT SEDA 1KG,P
761,DESOD NIVEA ,P
762,SALG ELMA ,P
763,LEITE SOJA ,P
764,SUCO ADES ,P
765,SOPA ARISCO ,P
766,PASTILHA TIC ,P
767,JUNCO CORANTE ,P
768,DESOD GOTA ,P
769,SUKITA BRAHMA ,P
770,MAC INST TALHARIM ,P
771,CATCHUP ARISCO ,P
772,LIMP OPTIMUM ,P
773,PATE SADIA ,P
774,BISC CREAM ,P
775,DESINF POLITRIZ ,P
776,TEMP KODILAR ,P
777,LIMP MULTIUSO ,P
778,DESOD VINOLIA ,P
779,CHUV MAXIDUCHA ,P
780,APAR BARB ,P
781,AGUA SANITARIA ,P
782,SAB VINOLIA ,P
783,LOCAO CREM ,P
784,CATCHUP BEIRA ,P
785,PAPEL HIG ,P
786,PAPEL HIG ,P
787,APAR BARB ,P
788,SALG ELMA ,P
789,SH DENOREX ,P
790,OLEO AMEND ,P
791,SORVETINA ,P
792,SH OX FORTIFICANTE ,P
793,TINT COLOR ,P
794,CR PENT KANECHOMN 300ML,P
795,LIMP AJAX ,P
796,GELATINA ROYAL ,P
797,PATE SADIA ,P
798,PAPEL HIG ,P
799,MIST BOLO DONA BENTA 450G,P
800,BISC AMANT ,P
801,IOG DANONE ,P
697,SUCO DEL VALLE ,P
802,CALDO MAGGI ,P
803,SAB LIQ LUX ,P
804,COND VITAL ,P
805,SORVETE MONICA ,P
806,DESOD REXONA ,P
807,HIGIPORO PELE ,P
808,SAB CORPO ,P
809,PAPEL HIG ,P
810,LOCAO HIDRAT ,P
811,DOCE LEITE ,P
812,BISC AMANT ,P
813,BISC VITAM ,P
814,BOLO BAUDUCCO ,P
815,DOCE PE DE ,P
816,DOCE LEITE ,P
817,ZAP COLA LTA ,P
818,ZAP COLA BABY ,P
819,BISC LEITE ,P
820,CREME HID ,P
821,CR PENT SEMPREBELLA ,P
822,COND SEMPREBELLA ,P
823,CERA POLITRIZ ,P
824,SH SEMPREBELLA ,P
825,MILHO PIP ,P
826,FAR MAND TEMP ,P
827,PAPEL HIG ,P
828,SUCO DELVALLE ,P
829,SUCO DELVALLE ,P
830,DETERG PO ,P
831,SH COLORAMA ,P
832,CHOC GAROTO ,P
833,IOG NESTLE ,P
834,IOG NESTLE ,P
835,VINHO DO AVO ,P
836,SAND IPAN ,P
837,BOLO PULLMAN ,P
838,BOLO PULLMAN ,P
839,SH PERT PLUS ,P
840,PAO FORMA ,P
841,COND ENLACE ,P
842,AMAC COMFORT ,P
843,LIMP PATO ,P
844,LIMP PATO ,P
845,APAR BARB ,P
846,TEMP PASTA ,P
847,SUCO ART DOCE ,P
848,POTINHO GEL ,P
849,SUCO ART SPIN ,P
850,GEL IPHIGENY ,P
851,COND CLEAR ,P
852,COLONIA PHYTODERM ,P
853,DES HIDRAT ,P
854,LASANHA REZENDE ,P
855,GLEID SANY ,P
856,TINT NATUCOR ,P
857,TINTA PINTACOR ,P
858,SUCO ADES ,P
859,MARG LECO ,P
860,COND AROMA ,P
861,PAPEL HIG ,P
862,SUCO ART MAITA ,P
863,JUNCO FORMA ,P
864,FILT DOCE ,P
865,ODORIZ GLADE ,P
866,DETERG SELETO ,P
867,CR DENT SORRISO ,P
868,AMAC SELETO ,P
869,LIMP PATO ,P
870,LOCAO HIDRAT ,P
871,LIMP VEJA ,P
6085,HORTFRUT,E
6086,LOJA LIMPEZA,E
6060,PRODUÇÃO PADARIA,E
6063,PRODUÇÃO AÇOUGUE,E
6065,FRENTE DE LOJA,O
6066,REFEITORIO  LOJA,E
6020,MATERIA PRIMA PADARIA,S
6040,BICARBONATO,S
6041,PUDIM/ MUSSE,S
6042,ESPETINHOS,S
6080,DEPARTAMENTO TESTE,D
6081,GRUPO TESTE,G
6082,SUBGRUPO TESTE,S
6062,PADARIA,E
6120,CARNES BOVINAS,G
6121,FRACIONADOS ACOUGUE,S
6123,CARNES SUINAS,G
6124,CARNES DE AVES,G
6100,TESTE APOLLO,P
6200,"KIBOM 1,5",P
6201,KIBOM 800 ML,P
6202,"KIBOM 1,4 ML",P
6220,SAL GOLD,P
6221,TIC TAC 30 UN,P
6240,TNT 269,P
6241,CABARE ICE,P
6242,CABARE ICE 275,P
6243,CABARE ICE 269,P
6244,TNT ISOTONICO,P
6245,IT 2L,D
6246,IT 2L,P
6260,RED 250ML,P
6282,AMAC YPE 2L,P
6283,BAYGON 300ML,P
6284,PIPOCA PACHA 100G,P
6480,GRAOS 135G AYMORE,P
6560,MIST CLARA,P
6580,XAROPE 500ML,P
6700,DOCE TOLETO 660,P
6720,MINEIRO BABY 250,P
6820,TANG,P
6860,LINGUIÇAS ILHAS,S
6880,TRIDENT 8G,P
6940,SKIN 38G,P
6980,DES BAX AERO,P
6981,CERV LATA ATE 269,S
6982,CERV LATA ATE 269,P
6180,DOWNY 1L,P
6181,DOWNY 500ML,P
6320,DOM BOSCO 750,P
6321,LUX 85G,P
6322,SH SEDA 325,P
6340,VILMA OVOS CORTADO 500G,P
6341,VILMA NINHO 500G,P
6342,VILMA INSTANTANEO,P
6343,CLUB SOCIAL 141,P
6344,BARRA NUTRI 40G,P
6345,CEREAL NUTRI 22G,P
6346,BARRA DE FRUSTAS 20G,P
6500,KIT NEUTROX,P
6501,KIT SHAMP +COND,P
6520,VILMA RECHEADO 120G,P
6521,VILMA WAFER,P
6522,SUCO VILMA 10G,P
6523,TEMP VILMA 450G,P
6524,TEMP VILMA 500G,P
6540,SAFRA 500G,P
6541,CRISTAL 500G,P
6620,TORRESMO,S
6660,KIT SKALA 325,P
6740,HID PAIXAO 200,P
6802,ENGOV 250ML,P
6920,AROMATIZANTE GEL AROMAZIL,P
6921,BANDEIRA CAR ARROMAZIL,P
6922,BASTAO SANITARIO,P
6923,ESSENCIA AROMAZIL,P
6924,LATA 220ML,P
6925,LATA 310ML,P
6960,PURUCA PORCAO 25G,P
7000,BOLO PULLMAN 250G,P
6160,MOOD DESODORANTE,P
6161,TINT ISACARE,P
6280,NUTRINECTAR 1L,P
6281,NUTRINECTAR 200ML,P
6380,DIFUSOR AROMAZIL,P
6400,FRANCIS 85G,P
6420,TORTILHA 140G,P
6440,GELATINA 20G KININO,P
6460,PREPARADO PARA DRINKS,S
6461,FRIZANTE ZERO,S
6600,GARRAFA MENT 56G,P
6680,"DESIN POLITRIZ 1,75",P
6681,LIMP PISO 500 POLITRIZ,P
6900,DAFRUTA 1L,P
6300,LAZANHA SERA 600,P
6360,KEP COOLER,P
6361,DOWS 450ML,P
6640,CHOCOLATES ZERO 25G,S
6760,CHOP DE VINHO,S
6780,SH JHONHSON,P
6800,WAFER MABEL 94G,P
6801,COOKIES,S
6840,BALCAO ACOUGUE,S
6841,EMBUTIDOS TERCEIROS,G
7020,LACTA 80G,P
7040,TESTE,O
7102,ACOUGUE,D
7104,HORTIFRUT,D
7105,USO INTERTO,D
7060,TESTE,G
7120,TESTE SKOL,P
