codcfop,descricao,proc_qtde,proc_cupom,cfop_devolucao,situacao_icms_entradas_nf,situacao_icms_saidas_nf,situacao_pis_entradas_nf,situacao_pis_saidas_nf,situacao_cofins_entradas_nf,situacao_cofins_saidas_nf,nao_gera_apuracao_icms,gera_financeiro_auto
1909,RET DE BEM REMET POR CONTA CONTRAT COMOD,S,N,,,,,,,,,
1910,ENTRADA BONIFICACAO,S,N,,794,,,,,,,N
1911,ENTRADA DE AMOSTRA GRATIS,S,N,,,,,,,,,
1912,ENTRADA MERC P/ DEMONSTRACAO,S,N,,,,,,,,,
1913,RETORNO MERC REMT P/ DEMONSTRACAO,S,N,,,,,,,,,
1914,RETORNO MERC REMET P/ EXPOSICAO OU FEIRA,S,N,,,,,,,,,
1915,ENTRADA MERC REMET P/ CONSERTO OU REPARO,S,N,,,,,,,,,
1916,RETORNO MERC REMET P/ CONSERTO OU REPARO,S,N,,,,,,,,,
1917,ENTRADA MERC RECEB EM CONSIG MERCANT IND,S,N,,,,,,,,,
1918,DEVOL MERC REMET EM CONSIG MERCANT OU IN,S,N,,,,,,,,,
1919,DEVOL SIMB MERC VEND EM PROC IND,S,N,,,,,,,,,
1920,ENTRADA DE VASILHAME OU SACARIA,S,N,,,,,,,,,
1921,RETORNO DE VASILHAME OU SACARIA,S,N,,,,,,,,,
1922,LANC EFETUADO TIT SIMPLES FAT DECOR COMP,S,N,,,,,,,,,N
1923,ENTRADA MERC RECEB VEN REMET EM VENDA,S,N,,,,,,,,,
1924,ENT P/ IND POR CONT ADQUIRINTE MERC,S,N,,,,,,,,,
1925,RETORNO  MERC REMET P/ IND POR CONT ADQU,S,N,,,,,,,,,
1926,LANC EFET A TIT RECLAS MERC FORM KIT,S,N,,,,,,,,,N
1949,PREST SERV NAO ESPECIF,N,N,,,,,,,,N,N
2101,COMPRA P/ INDUSTRIALIZACAO,S,N,,787,,788,,789,,,
2102,COMPRA P/ COMERCIALIZA,S,N,,787,,788,,789,,,
2111,COMPRA P/IND DE MERC RECEB ANT EM CONS,S,N,,,,,,,,,
2113,COMPRA P/ COM DE MERC RECEB ANTERIOR EM,S,N,,,,,,,,,
2116,COMPRA P/ IND ORIG ENCOMENDA P/ RECEB FUTURO,S,N,,,,,,,,,
2117,COMPRA P/ COM ORIG ENCOMENDA P/RECEB FUT,S,N,,,,,,,,,
2118,COMPRA MERC P/ COM PELO AQD ORIG,S,N,,,,,,,,,
2120,COMPRA P/ IND EM VENDA JA RECEB,S,N,,,,,,,,,
2121,COMPRA P/ COMERC EM VENDA JA RECEB AO VE,S,N,,,,,,,,,
2122,COMPRA P/ IND EM Q A MERC FOI REMET P FO,S,N,,,,,,,,,
2125,IND EFETUADA POR OUTRA EMPRESA,S,N,,,,,,,,,
2126,COMPRA P/ UTILIZACAO NA PREST SERVICO,S,N,,,,,,,,,
2151,TRANSFERENCIA P/ INDUSTRIALIZACAO,S,N,,,,,,,,,
2152,TRANSFERNCIA P/ COMERCIALIZACAO,S,N,,,,,,,,,
2153,TRANSFERENCIA DE ENERGIA ELET P/ DISTRIB,S,N,,,,,,,,,
2154,TRANSFERENCIA P/ UTILIZACAO NA PREST SERVICO,S,N,,,,,,,,,
2201,DEVOL VENDA DE PRODUCAO DO ESTABELECIMEN,S,N,,,,,,,,,
2203,DEVOL VENDA PROD DEST ZONA FRANCA OU LIV,S,N,,,,,,,,,
2204,DEVOL VENDA MERC ADQ OU REB TERC DEST ZO,S,N,,,,,,,,,
2205,ANULACAO DE VALOR RELATIVO A PREST SERV,S,N,,,,,,,,,
2206,ANULACAO DE VALOR RELATIVO A PRES SERV TRANSP,S,N,,,,,,,,,
2207,ANULACAO DE VALOR RELAT VENDA ENERG ELET,S,N,,,,,,,,,
2208,DEVOL DE PROD DO ESTAB REMET EM TRANSF,S,N,,,,,,,,,
2209,DEVOL MERC ADQUIRIDA DE TERC REMET EM TR,S,N,,,,,,,,,
2251,COMPRA DE ENERGIA ELET P/ DISTR OU COMER,S,N,,,,,,,,,
2252,COMPRA ENERGIA ELET POR ESTAB INDUSTRIAL,S,N,,,,,,,,,
2253,COMPRA DE ENERGIA ELET POR ESTAB COMERCIAL,S,N,,,,,,,,,
2254,COMPRA ENERGIA ELET POR ESTAB PREST SERVICO TRANSP,S,N,,,,,,,,,
2255,COMPRA DE ENER ELET POR ESTAB PRES SERV DE COMUNIC,S,N,,,,,,,,,
2256,COMPRA ENERG ELET POR EST PROD RURAL,S,N,,,,,,,,,
2257,COMPRA ENERG ELET P/ CONS POR DEMANDA CONTRATADA,S,N,,,,,,,,,
2301,AQUISICAO SERV COMUNICACAO P/ EXEC SERV,S,N,,,,,,,,,
2303,AQUISICAO SERV COMUNIC POR ESTAB COMERCI,S,N,,,,,,,,,
2304,AQUISICAO SERV DE COMINIC POR ESTAB PRES SERV TRAN,S,N,,,,,,,,,
2305,AQUISICAO SERV COMUNIC POR ESTAB DIST ENER ELETRIC,S,N,,,,,,,,,
2306,AQUISICAO DE SERV COMUNIC POR ESTAB PR,S,N,,,,,,,,,
2352,AQUISICAO SERV TRANS POR ESTAB INDUSTRIAL,S,N,,,,,,,,,
2354,AQUISICAO SERV TRANSP POR ESTAB PR SER COMINICACAO,S,N,,,,,,,,,
2355,AQUISICAO SERV TRANSP POR ESTAB DIST EN,S,N,,,,,,,,,
2356,AQUIS SERV TRANSP POR ESTAB PRODUTOR RUR,S,N,,,,,,,,,
2401,COMPRA P/ IND EM OPERACAO C/ MERC S T,S,N,,787,,788,,789,,,
2351,AQUISICAO SERV DE TRANS P/ EXEC SERV,S,N,,,,,,,,,
2403,COMPRA P/ COMERC OPERACAO MERC SUJ SUB T,S,N,,787,,788,,789,,,
2406,COMPRA DE BEM ATIVO IMOB CUJA MERC,S,N,,,,,,,,,
2408,TRANSFERENCIA P/ IND EM OPER SUJ SUB TRI,S,N,,,,,,,,,
2409,TRANSF P/ COM EM OP C/ MERC SUJ REG SUB,S,N,,,,,,,,,
2410,DEVOL VENDA PROD ESTAB OPERC SUJ SUB TRI,S,N,,,,,,,,,
2411,DEVOL VENDA MERC ADQ TERCEI SUJ SUB TRI,S,N,,787,,788,,789,,,
2414,RETORNO PROD ESTAB REMET P/ VENDA F DO ESTAB,S,N,,,,,,,,,
2415,RETORNO MERC AQD REB TERC REMET P/ VENDA,S,N,,,,,,,,,
2503,ENTRADA DECOR DEVOL PROD REMET C/ FIM ESP EXPORT E,S,N,,,,,,,,,
2504,ENTRADA DECOR DEVOL MERC REMET C/ FIM ESP EXPORT,S,N,,,,,,,,,
2551,COMPRA  BEM P/ ATIVO IMOBILIZADO,N,N,,,,,,,,,
2552,TRANSF DE BEM DO ATIVO IMOBILIZADO,S,N,,,,,,,,,N
2553,DEVOL VENDA DE BEM DO ATIVO IMOBILIZADO,S,N,,,,,,,,,
2555,ENTRADA BEM DO ATIVO IMOB DE TERC REMET P/ US DO E,S,N,,,,,,,,,
2556,COMPRA DE MAT P/ USO OU CONSUMO,N,N,,787,,,,,,N,N
